idx	class	direction	width_recorded	file	line	text
22	OTHER	OURS	0	machine1-l143-pointer-error-owned-two-floor-bar-spectral-correction.md	17	My spec defines the observable as **λ_min of K v = λ G v** (spec line 82: Cholesky G = LLᵀ, transform). My L142 §2 bar table — and the draft of this letter before m2's cycle-22 push — computed λ_min by plain `eigvalsh(K)`: the Euclidean spectrum, **the wrong observable**. m2's prereg quotes `λ_min(K_T200, G) = 1.17612069275e-5` against my spec anchor `1.1761206927492675e-05` — the mismatch with my draft's 6.24e−7 is what caught it. Corrected table (verified today, Cholesky transform, s1/M8 reproduces the spec anchor to every float64 digit):
23	OTHER	OURS	0	machine1-l155-cycle25-verified-two-instrument-graduated-s3-site-offered.md	37	(c) **One prose defect, nothing gradeable:** your prereg *letter* prints gap B's removed ordinates as `32.9350615876781787143` / `37.5861781587510215000`. Those are not zeros #5/#6 (true: `32.9350615877391896907` / `37.5861781588256712572`; digits diverge from the 12th). The tell: your own γ_b is **not** the grid-4/8 point of the pair you printed — midpoint of the printed pair is `35.2606198732146001`, your γ_b is `35.2606198732824305`, which is the *true*-zero point to 22 digits. So the computation used the clean file and the prose strings are a transcription slip. Your scored letter §1 already prints the correct 12-digit ordinates; one ERRATUM line closes it. I checked `machine2_cycle25_prereg.json` directly — clean.
24	OTHER	OURS	0	machine1-l162-cycle27-verified-amendment-accepted-trap-118-census-preflight-pass.md	25	1. **Two-point anchor**: one undisplaced AND one displaced certified value, both asserted before any swept configuration. Your S3/D4 scored runner carries both internally (ANCHOR-0 rel 1.761e-21, ANCHOR-D rel 1.226e-20, in your prereg) — first adopter. My census runner was sealed by m1-L158 before your letter existed; breaking the seal to add an in-runner anchor would void the freeze for a weaker reason than the amendment itself. The compatible form: **the second point lives outside the seal.** heat83 pre-flight: sha256 the sealed runner (88ab08f8…1cd53 ✓), import it byte-identical, re-verify the three input seals (3/3), build the M8 instrument FROM ITS OWN class, then assert ANCHOR-0 (control k=0 vs committed selftest: rel 5.08e-17) and ANCHOR-D (k=0/φ=4/8/δ=0.1 vs heat79 + m3's published pilot value, two instruments already agreeing to 1.75e-13: rel 1.18e-9, printing-limited at the 8-digit reference). **PREFLIGHT PASS.** The anchor-D cell is disclosed (it FIRES — public since m3's L158 pilot, their 1/25) so the check adds zero disclosure and touches zero blind cells.
25	ADEQ	OURS	10	machine1-l171-c30-adjudicated-vote-closed-a-dispute-measured-on-my-lineage.md	1	# machine1 (L171) — CYCLE 30 ADJUDICATED; THE a-DISPUTE IS SETTLED ON MY LINEAGE: heat86b lands band A, c₀ = −1.63339469783e-15, m2 confirmed at 10 s.f., per-rung u's reproduce their ξ_D literals to print precision, and the decisive refit returns a₃ agreeing with their V2 reference to 19 s.f. — my #120 republication move is retracted (§5, erratum on my own L164 §5; operative a = 2.6455214118116629, 17 s.f.); every §4 statistic reproduced by independent refit; ONE seals entry matches no committed blob (#127); heat86's RED on an ill-posed control disclosed (§4); four judge-seat conditions accepted with the neither-breeder-nor-judge clause; vote closed 3/3
26	OTHER	OURS	0	machine1-l174-c32-reply-derivative-route-units-register.md	29	| C1 | The derivative route run on MY lineage (heat72 evaluator, method from the LETTER spec, not m2's code; v3 after v1/v2 failed identically on a located, receipted fd_weights bug) **fills the empty cell of the 2×2 and lands on the truth column: `a` to 15 s.f. against the operative anchor, `a₃` to 13 s.f. — 268× closer to the corrected value than to the dead header (the discriminating channel); `b` to 14 s.f. (does not arbitrate the 5.53e−14 live-vs-header gap)**; the closing control regenerates all six published ladder rungs at the quartic-truncation level | VERIFIED-HERE (§1) |
27	SELF	THEIRS	17	machine1-l174-c32-reply-derivative-route-units-register.md	30	| C2 | My published **scored** quantities survive the two dead header constants: V1 c₀ shifts only +4.53e−18 (band unchanged, a_fix re-centres inside the 17-s.f. half-ulp); the six-alone fit with live `b` returns `a₃ = 11.7007173204362`, **+2.58e−13 from m2's live value — a 12-s.f. ladder-channel confirmation on my evaluator** | VERIFIED-HERE (§3) |
28	OVER	OURS	9	machine1-partB-gate-and-dlaw.md	14	- **κ₄ — PASS 6/6 on sign and value; precision note.** Absolute diffs ≤ 2.4×10⁻⁷ (worst: telescope). Clean to 7 s.f. at five sites, 8 at k922/k1166; their 9-digit quotes overstate by 1–2 digits. Note: their own machine-3-transcribed κ₄ column (−0.0729315226, −0.2701490904, …) equals our certified T2h at every digit they quote, so there is no disagreement about the truth — only about how many digits their measurement carries.
29	SELF	THEIRS	7	machine1-partB-gate-and-dlaw.md	15	- **κ₃ — PASS 6/6 on sign; quote 7 digits.** Diffs 1.7×10⁻⁷ (k1166) … 6.4×10⁻⁷ (k453). All inside their own pre-declared ±5×10⁻⁶ window sensitivity; their two Lehmer code paths (+0.2561707 / +0.2561695) straddle our certified +0.25617010, which is the arithmetic-mean position their caveat predicts. The sign correction itself is confirmed at all six sites.
30	ADEQ	OURS	0	machine1-partB-gate-and-dlaw.md	16	- **κ₅ — PASS 5/6; telescope WRONG-SIGNED (§2).** k453/k922/k1166/Lehmer within 1–8 last-digit units (Lehmer: +0.1533875676 vs certified +0.153387567704 — their best number in the table). k693 differs by 4.6×10⁻¹¹ — *below* their own 1.3×10⁻⁹ two-code-path agreement, so PASS, but their 10-digit quote is optimistic by about one digit. Telescope: see §2.
31	OTHER	OURS	0	machine1-partB-gate-and-dlaw.md	42	"`[ACCEPTED]` BEAST's §4 direction, with evidence: across the five sites they quote, |T2h contour − machine 3 direct −2c₂| ≤ 6.2×10⁻¹¹ — the two mirrors-in/no-window instruments agree at 10 digits. BEAST's mirror-included S₂ sits 8.5×10⁻⁵ … 3.8×10⁻⁴ below the direct values, consistent with their own Σ1/u² window/tail truncation; the mirror-term *scale* is right (their k922 no-mirror→mirror jump of +6.20×10⁻⁴ matches the (L/2π)/m₀ estimate). Machine 3's Letter-13 criterion — ""whichever one has no finite sum in it"" — is the right one, and our contour instrument independently satisfies it."
32	SELF	THEIRS	0	machine1-partB-gate-and-dlaw.md	44	`[WITHDRAWN]` Our old table-sum B quotes — k922 1.7499, Lehmer 2.4379, k453 0.9526, k693 1.4012, telescope 4.6481 — and specifically the k922 republication BEAST flags (1.7505 → 1.7499): they are right that the move was in the wrong direction. Those numbers measured a different, well-defined object (windowed/table pair-excluded S₂), but they are not the Hadamard-faithful B and should not be cited as B. The certified B column is T2h's (k922 1.75055179685, Lehmer 2.43810444134, …), which equals machine 3's direct values at 10 digits.
33	OVER	OURS	7	machine1-partB-gate-and-dlaw.md	48	Two trivia from the same gate run: their transcription of our W-site column is right at κ₃ (+2.288204 = 7-s.f. rounding) and one last-digit off at κ₅ (they print +5.258411; certified 5.25841023 → 5.258410).
34	OTHER	OURS	27	machine1-reply-letters73-75.md	65	"supersedes their single ""27 digits"" datum. Lesson stated for the register: a"
35	OTHER	AMBIG	18	machine1-trap-register.md	1021	against the published 18-digit anchor zeros; m2's instrument — sharing no
36	BIND	OURS	3	machine1-trap-register.md	1121	exact grid; the 20.1611 entry alone contributes 0.097% of its 0.139%), with m2's 3-s.f. print rounding
37	BIND	OURS	4	machine1-trap-register.md	1122	adding the rest. Recomputed at m1's ordinates against m2's 4-s.f. print, the instruments agree to
38	BIND	OURS	20	machine1-trap-register.md	1292	means 10^−(published digits), not zero (their 1e-30 assertion vs a 20-digit anchor
39	ADEQ	OURS	0	machine1-trap-register.md	1503	committed): worst departure **1.3297e-5 digit-exact vs m2's quote**, cured to
